NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.001,Train: 0.0204636334072, Test: 1.04684314512
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0318132334647, Test: 0.477567701508
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0294226559173, Test: 0.459612539929
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0477925225845, Test: 0.358110879201
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.0892029348319, Test: 0.419177818622
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.01,Train: 0.152289594489, Test: 0.309000875045
NumTP: 100, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.120831853822, Test: 0.586155486836
NumTP: 200, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.247135780536, Test: 0.479874036958
NumTP: 300, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.27981183867, Test: 0.452819407522
NumTP: 400, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.331277716429, Test: 0.462565427086
NumTP: 500, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.348687113007, Test: 0.411614471215
NumTP: 700, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.349877867923, Test: 0.340280550562
NumTP: 1000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.353873095422, Test: 0.379543339127
NumTP: 2000, Hwidth: 10, BatchSize: 5, L2reg: 0.1,Train: 0.370661764863, Test: 0.354426956479
